Barcode,SubSection,Artical,Size,Qty,MRP
2305DR10384,FM SHIRT,FM1016,L,1,2499
2305DR10367,FM SHIRT,FM1016,S,1,2499
2310DR1847,FS-SHIRT,9465F,L,1,2499
2310DR1469,FS-SHIRT,9461F,XL,1,2499
2308DR1039,FM SHIRT,FM1040,L,1,2499
2308DR1043,FM SHIRT,FM1040,XL,1,2499
2305DR10795,FM SHIRT,FM1049,S,1,2399
2305DR10868,FM SHIRT,FM1056,S,1,2399
2305DR11002,FM SHIRT,FM1065,M,1,2499
2310DR10714,FM SHIRT,FM1084,M,1,2499
2308DR5259,FM SHIRT,FM1066,S,1,2599
2305DR11020,FM SHIRT,FM1065,L,1,2499
2308DR5279,FM SHIRT,FM1066,L,1,2599
2308DR5287,FM SHIRT,FM1066,XL,1,2599
2305DR10995,FM SHIRT,FM1065,S,1,2499
2310DR10466,FM SHIRT,FM1079,XL,1,2499
2310DR1385,FS-SHIRT,9460F,XL,1,2499
2310DR1540,FS-SHIRT,9462F,L,1,2499
2310DR1490,FS-SHIRT,9462F,M,1,2499
2305DR10816,FM SHIRT,FM1049,L,1,2399
2305DR10806,FM SHIRT,FM1049,M,1,2399
2308DR1015,FM SHIRT,FM1040,S,1,2499
2308DR5289,FM SHIRT,FM1066,XL,1,2599
2305DR11035,FM SHIRT,FM1019,S,1,2499
2305DR11058,FM SHIRT,FM1019,L,1,2499
2305DR11062,FM SHIRT,FM1019,XL,1,2499
2305DR11049,FM SHIRT,FM1019,M,1,2499
2305DR7607,FM SHIRT,FM1008,S,1,2499
2305DR7599,FM SHIRT,FM1008,S,1,2499
2305DR7633,FM SHIRT,FM1008,M,1,2499
2305DR7675,FM SHIRT,FM1008,XL,1,2499
2305DR7534,FM SHIRT,FM1007,M,1,2499
2305DR7505,FM SHIRT,FM1007,S,1,2499
2305DR7559,FM SHIRT,FM1007,L,1,2499
2310DR4982,FS-SHIRT,ACID-1550,XL,1,2999
2310DR4952,FS-SHIRT,ACID-1550,M,1,2999
2310DR4937,FS-SHIRT,9481FC,L,1,2999
2310DR4957,FS-SHIRT,ACID-1550,M,1,2999
2310DR4824,FS-SHIRT,ACID-1548,L,1,2999
2310DR4834,FS-SHIRT,ACID-1548,XL,1,2999
2310DR4815,FS-SHIRT,ACID-1548,M,1,2999
2310DR4923,FS-SHIRT,9481FC,M,1,2999
2310DR4966,FS-SHIRT,ACID-1550,M,1,2999
2310DR4987,FS-SHIRT,ACID-1550,XL,1,2999
2310DR4991,FS-SHIRT,ACID-1550,XXL,1,2999
2308DR3679,DENIM,D1572B,32,1,4599
2209DR1714,DENIM,D1463,32,1,4499
2306DR3601,DENIM,D1550,32,1,4599
